Name,Specialization,Experience (years),Degrees,Address,City,State,Contact,Email,Rating,Popular Reviews,Hospital,Consultation Fee (INR)
Dr. Advait Menon,Neurologist,29,"DM, MBBS","123 Street, Ahmedabad, Gujarat",Ahmedabad,Gujarat,+91 7655893297,dr..advait.menon@ahmedabad.hospital.com,4.7,Highly professional and caring.; Patient and compassionate treatment.; Explained the condition very clearly.,Global Care Hospital,1255
Dr. Karan Mishra,ENT Specialist,20,MD,"123 Street, Ahmedabad, Gujarat",Ahmedabad,Gujarat,+91 9611928947,dr..karan.mishra@ahmedabad.hospital.com,4.3,Highly recommended for specialized care.; Explained the condition very clearly.; Took time to address all concerns.,City General Hospital,1051
Dr. Eshaan Bose,Psychiatrist,4,"MS, DM","123 Street, Surat, Gujarat",Surat,Gujarat,+91 8778756539,dr..eshaan.bose@surat.hospital.com,3.8,Highly recommended for specialized care.; Patient and compassionate treatment.; Took time to address all concerns.,City General Hospital,647
Dr. Siddharth Malhotra,ENT Specialist,29,"MBBS, MCh, PhD","123 Street, Surat, Gujarat",Surat,Gujarat,+91 8638537019,dr..siddharth.malhotra@surat.hospital.com,3.9,Took time to address all concerns.; Patient and compassionate treatment.; Highly professional and caring.,Global Care Hospital,1124
Dr. Siddharth Joshi,Orthopedic,6,"PhD, MS","123 Street, Panipat, Haryana",Panipat,Haryana,+91 7930877325,dr..siddharth.joshi@panipat.hospital.com,4.8,Highly professional and caring.; Took time to address all concerns.; Highly recommended for specialized care.,City General Hospital,1944
Dr. Siddharth Kumar,Gynecologist,11,"MS, DNB, DM","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 7021836045,dr..siddharth.kumar@gurugram.hospital.com,3.6,Highly recommended for specialized care.; Patient and compassionate treatment.; Highly professional and caring.,Global Care Hospital,1407
Dr. Kabir Sethi,ENT Specialist,6,"MCh, DNB","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 9335839296,dr..kabir.sethi@gurugram.hospital.com,5.0,Explained the condition very clearly.; Highly professional and caring.; Took time to address all concerns.,City General Hospital,1419
Dr. Niharika Chawla,Orthopedic,11,PhD,"123 Street, Panipat, Haryana",Panipat,Haryana,+91 9434393947,dr..niharika.chawla@panipat.hospital.com,4.0,Highly recommended for specialized care.; Patient and compassionate treatment.; Explained the condition very clearly.,Global Care Hospital,1102
Dr. Lakshmi Dey,Cardiologist,34,"MBBS, PhD","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 9472946673,dr..lakshmi.dey@gurugram.hospital.com,4.1,Highly recommended for specialized care.; Patient and compassionate treatment.; Explained the condition very clearly.,Global Care Hospital,1214
Dr. Tara Kapoor,Orthopedic,14,"MBBS, DM, MCh","123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 9868403078,dr..tara.kapoor@faridabad.hospital.com,4.6,Highly recommended for specialized care.; Took time to address all concerns.; Patient and compassionate treatment.,City General Hospital,823
Dr. Karan Sekhar,Gynecologist,33,"DNB, PhD","123 Street, Panipat, Haryana",Panipat,Haryana,+91 9742075065,dr..karan.sekhar@panipat.hospital.com,4.0,Highly recommended for specialized care.; Patient and compassionate treatment.; Explained the condition very clearly.,Global Care Hospital,319
Dr. Tara Mathur,Pediatrician,39,MD,"123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 9468206631,dr..tara.mathur@faridabad.hospital.com,3.5,Took time to address all concerns.; Explained the condition very clearly.; Highly recommended for specialized care.,Global Care Hospital,750
Dr. Ravi Jain,Cardiologist,9,DNB,"123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 9559785400,dr..ravi.jain@faridabad.hospital.com,4.7,Patient and compassionate treatment.; Explained the condition very clearly.; Highly professional and caring.,City General Hospital,1718
Dr. Naina Pandey,Psychiatrist,37,"MBBS, PhD, MS","123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 7293615420,dr..naina.pandey@faridabad.hospital.com,4.5,Explained the condition very clearly.; Patient and compassionate treatment.; Highly professional and caring.,City General Hospital,1488
Dr. Aman Bose,Ophthalmologist,31,"PhD, MD","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 8037928302,dr..aman.bose@gurugram.hospital.com,4.9,Highly professional and caring.; Took time to address all concerns.; Highly recommended for specialized care.,City General Hospital,1465
Dr. Anjali Mehta,Orthopedic,28,"DM, MS","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 7670667323,dr..anjali.mehta@gurugram.hospital.com,4.1,Patient and compassionate treatment.; Explained the condition very clearly.; Highly recommended for specialized care.,City General Hospital,430
Dr. Priya Pathak,Dermatologist,15,"DM, MS","123 Street, Panipat, Haryana",Panipat,Haryana,+91 9051921344,dr..priya.pathak@panipat.hospital.com,4.5,Explained the condition very clearly.; Highly professional and caring.; Took time to address all concerns.,Global Care Hospital,1638
Dr. Nikhil Kumar,Orthopedic,18,"MS, DNB","123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 7675958958,dr..nikhil.kumar@faridabad.hospital.com,3.9,Took time to address all concerns.; Highly recommended for specialized care.; Explained the condition very clearly.,City General Hospital,850
Dr. Kriti Agrawal,Ophthalmologist,3,"DM, PhD, MCh","123 Street, Panipat, Haryana",Panipat,Haryana,+91 9858196799,dr..kriti.agrawal@panipat.hospital.com,4.7,Took time to address all concerns.; Highly professional and caring.; Patient and compassionate treatment.,Global Care Hospital,1294
Dr. Aryan Pandey,Pediatrician,15,"MD, PhD, MBBS","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 9030782225,dr..aryan.pandey@gurugram.hospital.com,4.6,Patient and compassionate treatment.; Highly recommended for specialized care.; Took time to address all concerns.,City General Hospital,1630
Dr. Aditya Kapoor,Psychiatrist,3,MBBS,"123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 8118569254,dr..aditya.kapoor@gurugram.hospital.com,3.9,Explained the condition very clearly.; Patient and compassionate treatment.; Took time to address all concerns.,City General Hospital,1423
Dr. Vivaan Verma,Pediatrician,15,"MS, PhD","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 9203213781,dr..vivaan.verma@gurugram.hospital.com,4.2,Highly professional and caring.; Patient and compassionate treatment.; Explained the condition very clearly.,City General Hospital,1372
Dr. Karan Dey,Ophthalmologist,33,PhD,"123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 8493089423,dr..karan.dey@faridabad.hospital.com,3.7,Highly professional and caring.; Highly recommended for specialized care.; Explained the condition very clearly.,Global Care Hospital,1616
Dr. Raj Ghosh,Neurologist,8,MS,"123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 8622252162,dr..raj.ghosh@faridabad.hospital.com,4.2,Highly recommended for specialized care.; Explained the condition very clearly.; Patient and compassionate treatment.,Global Care Hospital,1923
Dr. Neha Pillai,Pediatrician,19,"MS, MBBS, MD","123 Street, Panipat, Haryana",Panipat,Haryana,+91 8478480909,dr..neha.pillai@panipat.hospital.com,4.5,Took time to address all concerns.; Explained the condition very clearly.; Patient and compassionate treatment.,Global Care Hospital,1045
Dr. Isha Roy,Cardiologist,10,"PhD, MCh, DNB","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 9748708332,dr..isha.roy@gurugram.hospital.com,4.1,Took time to address all concerns.; Highly recommended for specialized care.; Patient and compassionate treatment.,Global Care Hospital,863
Dr. Mira Gupta,Ophthalmologist,39,"MS, MBBS, PhD","123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 9693030012,dr..mira.gupta@faridabad.hospital.com,4.1,Patient and compassionate treatment.; Highly professional and caring.; Highly recommended for specialized care.,Global Care Hospital,358
Dr. Kavya Sharma,Gynecologist,14,MD,"123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 9390851327,dr..kavya.sharma@faridabad.hospital.com,4.0,Highly recommended for specialized care.; Highly professional and caring.; Took time to address all concerns.,City General Hospital,1650
Dr. Vivaan Mishra,Orthopedic,11,"MCh, MS","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 8885090153,dr..vivaan.mishra@gurugram.hospital.com,3.6,Took time to address all concerns.; Highly professional and caring.; Explained the condition very clearly.,Global Care Hospital,1251
Dr. Aryan Joshi,General Physician,11,MS,"123 Street, Panipat, Haryana",Panipat,Haryana,+91 8923048714,dr..aryan.joshi@panipat.hospital.com,3.7,Explained the condition very clearly.; Highly professional and caring.; Highly recommended for specialized care.,Global Care Hospital,1192
Dr. Advait Chawla,Orthopedic,21,DM,"123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 7750376955,dr..advait.chawla@gurugram.hospital.com,4.1,Highly recommended for specialized care.; Patient and compassionate treatment.; Took time to address all concerns.,Global Care Hospital,1136
Dr. Simran Menon,General Physician,11,"PhD, MD","123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 8095526667,dr..simran.menon@faridabad.hospital.com,3.9,Explained the condition very clearly.; Patient and compassionate treatment.; Highly professional and caring.,Global Care Hospital,1823
Dr. Raj Dey,Pediatrician,37,DNB,"123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 9410228159,dr..raj.dey@faridabad.hospital.com,3.6,Highly professional and caring.; Explained the condition very clearly.; Took time to address all concerns.,City General Hospital,940
Dr. Simran Kohli,General Physician,19,MBBS,"123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 7075570919,dr..simran.kohli@faridabad.hospital.com,4.7,Highly professional and caring.; Highly recommended for specialized care.; Patient and compassionate treatment.,Global Care Hospital,797
Dr. Advait Malhotra,Orthopedic,16,"PhD, DNB, MD","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 8869963426,dr..advait.malhotra@gurugram.hospital.com,3.8,Explained the condition very clearly.; Took time to address all concerns.; Highly recommended for specialized care.,Global Care Hospital,1498
Dr. Naina Sekhar,Psychiatrist,23,"MCh, DM","123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 7598396681,dr..naina.sekhar@faridabad.hospital.com,4.9,Explained the condition very clearly.; Highly recommended for specialized care.; Took time to address all concerns.,Global Care Hospital,479
Dr. Isha Sekhar,Gynecologist,12,"MBBS, PhD","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 9468906323,dr..isha.sekhar@gurugram.hospital.com,4.2,Explained the condition very clearly.; Highly recommended for specialized care.; Highly professional and caring.,Global Care Hospital,343
Dr. Anjali Saxena,Psychiatrist,24,"DNB, MCh","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 8852287477,dr..anjali.saxena@gurugram.hospital.com,3.8,Explained the condition very clearly.; Took time to address all concerns.; Highly professional and caring.,Global Care Hospital,1233
Dr. Parth Kapoor,Pediatrician,28,"MBBS, MD, DNB","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 7894899981,dr..parth.kapoor@gurugram.hospital.com,4.4,Highly professional and caring.; Took time to address all concerns.; Highly recommended for specialized care.,Global Care Hospital,1079
Dr. Aryan Iyer,Pediatrician,30,"DM, PhD","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 7952773565,dr..aryan.iyer@gurugram.hospital.com,4.5,Highly professional and caring.; Took time to address all concerns.; Explained the condition very clearly.,Global Care Hospital,390
Dr. Parth Verma,Gynecologist,38,"DNB, MCh, MS","123 Street, Panipat, Haryana",Panipat,Haryana,+91 7147211683,dr..parth.verma@panipat.hospital.com,3.8,Took time to address all concerns.; Patient and compassionate treatment.; Highly recommended for specialized care.,Global Care Hospital,1924
Dr. Kiara Kohli,Cardiologist,25,"MCh, MS","123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 8202852261,dr..kiara.kohli@faridabad.hospital.com,4.7,Highly recommended for specialized care.; Highly professional and caring.; Patient and compassionate treatment.,City General Hospital,1843
Dr. Aman Ghosh,Ophthalmologist,36,"DNB, MBBS","123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 8729116765,dr..aman.ghosh@gurugram.hospital.com,3.5,Patient and compassionate treatment.; Explained the condition very clearly.; Highly recommended for specialized care.,City General Hospital,705
Dr. Aditya Reddy,Orthopedic,26,"MBBS, DNB","123 Street, Panipat, Haryana",Panipat,Haryana,+91 7358309521,dr..aditya.reddy@panipat.hospital.com,4.7,Explained the condition very clearly.; Patient and compassionate treatment.; Highly recommended for specialized care.,Global Care Hospital,599
Dr. Nikhil Nair,General Physician,12,"MCh, PhD, MS","123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 7983169348,dr..nikhil.nair@faridabad.hospital.com,4.9,Took time to address all concerns.; Highly recommended for specialized care.; Highly professional and caring.,City General Hospital,442
Dr. Mira Agrawal,Ophthalmologist,32,DM,"123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 9160111336,dr..mira.agrawal@faridabad.hospital.com,4.2,Patient and compassionate treatment.; Took time to address all concerns.; Explained the condition very clearly.,Global Care Hospital,1930
Dr. Lakshmi Nair,Ophthalmologist,30,"DNB, DM","123 Street, Faridabad, Haryana",Faridabad,Haryana,+91 9339551615,dr..lakshmi.nair@faridabad.hospital.com,4.3,Took time to address all concerns.; Explained the condition very clearly.; Patient and compassionate treatment.,City General Hospital,605
Dr. Isha Pathak,Neurologist,6,"PhD, DNB","123 Street, Panipat, Haryana",Panipat,Haryana,+91 9516401856,dr..isha.pathak@panipat.hospital.com,4.7,Explained the condition very clearly.; Highly professional and caring.; Patient and compassionate treatment.,Global Care Hospital,505
Dr. Sneha Chaudhary,ENT Specialist,15,MBBS,"123 Street, Gurugram, Haryana",Gurugram,Haryana,+91 7045483358,dr..sneha.chaudhary@gurugram.hospital.com,3.6,Patient and compassionate treatment.; Took time to address all concerns.; Highly recommended for specialized care.,Global Care Hospital,1927
Dr. Kavya Mathur,Orthopedic,30,"DM, MCh","123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 9900943360,dr..kavya.mathur@manali.hospital.com,3.6,Took time to address all concerns.; Explained the condition very clearly.; Patient and compassionate treatment.,Global Care Hospital,857
Dr. Harsh Chopra,Cardiologist,29,"DNB, PhD, MS","123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 8319907275,dr..harsh.chopra@shimla.hospital.com,4.6,Explained the condition very clearly.; Patient and compassionate treatment.; Highly recommended for specialized care.,Global Care Hospital,1498
Dr. Priya Jain,Gynecologist,5,"MD, MCh, DM","123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 9489179461,dr..priya.jain@manali.hospital.com,4.6,Highly recommended for specialized care.; Took time to address all concerns.; Patient and compassionate treatment.,Global Care Hospital,1712
Dr. Aditi Kapoor,General Physician,11,"MBBS, PhD","123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 9169855681,dr..aditi.kapoor@shimla.hospital.com,4.1,Highly professional and caring.; Explained the condition very clearly.; Highly recommended for specialized care.,Global Care Hospital,1402
Dr. Sia Pillai,Gynecologist,19,"MD, DM, MBBS","123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 8909273882,dr..sia.pillai@dharamshala.hospital.com,4.1,Highly professional and caring.; Highly recommended for specialized care.; Took time to address all concerns.,Global Care Hospital,1292
Dr. Neha Verma,Dermatologist,13,"MD, DM","123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 8563279107,dr..neha.verma@shimla.hospital.com,4.8,Highly recommended for specialized care.; Explained the condition very clearly.; Highly professional and caring.,Global Care Hospital,1440
Dr. Siddharth Patel,Neurologist,13,"MS, PhD","123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 9137536335,dr..siddharth.patel@dharamshala.hospital.com,3.6,Took time to address all concerns.; Explained the condition very clearly.; Patient and compassionate treatment.,City General Hospital,1389
Dr. Aditya Bhalla,Ophthalmologist,20,DM,"123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 9059917325,dr..aditya.bhalla@manali.hospital.com,4.9,Highly recommended for specialized care.; Took time to address all concerns.; Explained the condition very clearly.,Global Care Hospital,1249
Dr. Niharika Saxena,Psychiatrist,8,"PhD, DM","123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 7916313394,dr..niharika.saxena@dharamshala.hospital.com,4.1,Highly recommended for specialized care.; Explained the condition very clearly.; Highly professional and caring.,City General Hospital,1843
Dr. Naina Mathur,General Physician,19,DM,"123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 7404651074,dr..naina.mathur@manali.hospital.com,4.5,Patient and compassionate treatment.; Took time to address all concerns.; Explained the condition very clearly.,Global Care Hospital,1069
Dr. Kiara Nair,Ophthalmologist,39,MD,"123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 7818656440,dr..kiara.nair@manali.hospital.com,4.5,Highly professional and caring.; Patient and compassionate treatment.; Explained the condition very clearly.,City General Hospital,447
Dr. Aryan Nair,Ophthalmologist,26,"MS, MD, DM","123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 8250775573,dr..aryan.nair@shimla.hospital.com,4.0,Highly professional and caring.; Took time to address all concerns.; Patient and compassionate treatment.,Global Care Hospital,430
Dr. Karan Pillai,ENT Specialist,26,"MD, MBBS","123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 8952052809,dr..karan.pillai@shimla.hospital.com,3.7,Patient and compassionate treatment.; Highly recommended for specialized care.; Highly professional and caring.,City General Hospital,1987
Dr. Arjun Chopra,Dermatologist,33,MCh,"123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 7555926982,dr..arjun.chopra@manali.hospital.com,3.6,Patient and compassionate treatment.; Highly recommended for specialized care.; Explained the condition very clearly.,Global Care Hospital,1151
Dr. Vivaan Nigam,Psychiatrist,39,"DNB, MS, MBBS","123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 9100372540,dr..vivaan.nigam@dharamshala.hospital.com,4.2,Patient and compassionate treatment.; Explained the condition very clearly.; Took time to address all concerns.,City General Hospital,595
Dr. Sia Jain,Orthopedic,24,PhD,"123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 7658894798,dr..sia.jain@manali.hospital.com,5.0,Highly recommended for specialized care.; Highly professional and caring.; Patient and compassionate treatment.,City General Hospital,1207
Dr. Karan Singh,Gynecologist,3,"DNB, PhD","123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 9144853919,dr..karan.singh@manali.hospital.com,4.8,Highly recommended for specialized care.; Patient and compassionate treatment.; Explained the condition very clearly.,Global Care Hospital,1651
Dr. Diya Agrawal,Cardiologist,14,MCh,"123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 7410519321,dr..diya.agrawal@shimla.hospital.com,3.9,Took time to address all concerns.; Highly professional and caring.; Highly recommended for specialized care.,City General Hospital,315
Dr. Kriti Nair,ENT Specialist,11,MCh,"123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 7425114199,dr..kriti.nair@dharamshala.hospital.com,4.6,Took time to address all concerns.; Highly professional and caring.; Patient and compassionate treatment.,Global Care Hospital,816
Dr. Meera Chaudhary,Psychiatrist,8,"MD, MCh, DM","123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 9657860563,dr..meera.chaudhary@dharamshala.hospital.com,4.9,Highly professional and caring.; Explained the condition very clearly.; Took time to address all concerns.,City General Hospital,1044
Dr. Anjali Malhotra,Gynecologist,40,"DNB, PhD","123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 7086922760,dr..anjali.malhotra@shimla.hospital.com,4.3,Explained the condition very clearly.; Took time to address all concerns.; Highly professional and caring.,Global Care Hospital,1969
Dr. Kavya Iyer,ENT Specialist,38,PhD,"123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 7373817009,dr..kavya.iyer@shimla.hospital.com,4.7,Highly recommended for specialized care.; Explained the condition very clearly.; Patient and compassionate treatment.,Global Care Hospital,970
Dr. Naina Ojha,Gynecologist,15,MCh,"123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 7291730910,dr..naina.ojha@shimla.hospital.com,3.6,Took time to address all concerns.; Patient and compassionate treatment.; Explained the condition very clearly.,City General Hospital,1998
Dr. Ashwin Thakur,General Physician,11,"MBBS, MCh, MD","123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 8246092856,dr..ashwin.thakur@shimla.hospital.com,4.1,Explained the condition very clearly.; Highly professional and caring.; Highly recommended for specialized care.,City General Hospital,662
Dr. Diya Mathur,Dermatologist,18,"MS, DNB, MD","123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 7349632455,dr..diya.mathur@manali.hospital.com,4.5,Explained the condition very clearly.; Highly recommended for specialized care.; Highly professional and caring.,City General Hospital,1491
Dr. Ishaan Joshi,Neurologist,27,MCh,"123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 8477874320,dr..ishaan.joshi@manali.hospital.com,4.8,Explained the condition very clearly.; Highly recommended for specialized care.; Patient and compassionate treatment.,City General Hospital,431
Dr. Arjun Patel,General Physician,18,MD,"123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 7892056603,dr..arjun.patel@manali.hospital.com,4.4,Highly professional and caring.; Patient and compassionate treatment.; Highly recommended for specialized care.,City General Hospital,1470
Dr. Eshaan Sharma,Dermatologist,8,"MD, PhD, DNB","123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 9083584706,dr..eshaan.sharma@dharamshala.hospital.com,3.8,Highly recommended for specialized care.; Highly professional and caring.; Took time to address all concerns.,City General Hospital,1587
Dr. Nikhil Bhalla,ENT Specialist,21,"MBBS, MS","123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 8167598504,dr..nikhil.bhalla@manali.hospital.com,5.0,Highly recommended for specialized care.; Explained the condition very clearly.; Highly professional and caring.,City General Hospital,1212
Dr. Nikhil Mishra,General Physician,22,"DM, PhD, MS","123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 9229931867,dr..nikhil.mishra@manali.hospital.com,3.8,Explained the condition very clearly.; Highly professional and caring.; Took time to address all concerns.,City General Hospital,1903
Dr. Eshaan Saxena,Pediatrician,14,"MCh, DM, MD","123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 8583797988,dr..eshaan.saxena@manali.hospital.com,4.5,Highly recommended for specialized care.; Highly professional and caring.; Took time to address all concerns.,Global Care Hospital,859
Dr. Simran Menon,Pediatrician,13,"DM, DNB","123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 8020115022,dr..simran.menon@manali.hospital.com,4.9,Highly recommended for specialized care.; Explained the condition very clearly.; Patient and compassionate treatment.,City General Hospital,1405
Dr. Niharika Iyer,Gynecologist,22,"PhD, MBBS","123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 7139867765,dr..niharika.iyer@shimla.hospital.com,4.1,Explained the condition very clearly.; Highly professional and caring.; Patient and compassionate treatment.,City General Hospital,1127
Dr. Naina Saxena,Gynecologist,33,"DM, MD","123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 9716621957,dr..naina.saxena@shimla.hospital.com,3.6,Highly recommended for specialized care.; Patient and compassionate treatment.; Explained the condition very clearly.,Global Care Hospital,803
Dr. Meera Pandey,Neurologist,34,MCh,"123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 9468166481,dr..meera.pandey@shimla.hospital.com,4.1,Highly professional and caring.; Patient and compassionate treatment.; Highly recommended for specialized care.,City General Hospital,729
Dr. Ritu Bhalla,General Physician,9,"DM, DNB, MCh","123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 7358464603,dr..ritu.bhalla@dharamshala.hospital.com,4.1,Took time to address all concerns.; Highly professional and caring.; Explained the condition very clearly.,Global Care Hospital,1130
Dr. Neha Nair,Pediatrician,39,"PhD, DNB","123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 8464479481,dr..neha.nair@dharamshala.hospital.com,4.1,Highly professional and caring.; Patient and compassionate treatment.; Highly recommended for specialized care.,Global Care Hospital,1319
Dr. Kabir Sekhar,Dermatologist,11,MD,"123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 8050066908,dr..kabir.sekhar@dharamshala.hospital.com,4.4,Highly professional and caring.; Highly recommended for specialized care.; Explained the condition very clearly.,Global Care Hospital,1763
Dr. Kavya Bhalla,Psychiatrist,11,"PhD, MCh, MD","123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 9387713092,dr..kavya.bhalla@shimla.hospital.com,4.6,Patient and compassionate treatment.; Took time to address all concerns.; Explained the condition very clearly.,Global Care Hospital,1983
Dr. Kavya Mathur,Cardiologist,26,"MCh, DM, MS","123 Street, Manali, Himachal Pradesh",Manali,Himachal Pradesh,+91 8860903703,dr..kavya.mathur@manali.hospital.com,4.5,Highly recommended for specialized care.; Patient and compassionate treatment.; Highly professional and caring.,City General Hospital,857
Dr. Diya Thakur,Psychiatrist,13,"DM, MD, MBBS","123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 9529860280,dr..diya.thakur@dharamshala.hospital.com,4.9,Explained the condition very clearly.; Highly professional and caring.; Highly recommended for specialized care.,City General Hospital,411
Dr. Advait Patel,Neurologist,25,PhD,"123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 8635441485,dr..advait.patel@shimla.hospital.com,4.3,Patient and compassionate treatment.; Highly professional and caring.; Explained the condition very clearly.,Global Care Hospital,1107
Dr. Nikhil Agrawal,Ophthalmologist,5,"MBBS, PhD, DM","123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 8411740261,dr..nikhil.agrawal@shimla.hospital.com,3.5,Took time to address all concerns.; Highly professional and caring.; Highly recommended for specialized care.,Global Care Hospital,1603
Dr. Harsh Mathur,Neurologist,30,"DNB, MD, MBBS","123 Street, Shimla, Himachal Pradesh",Shimla,Himachal Pradesh,+91 8690815679,dr..harsh.mathur@shimla.hospital.com,4.7,Took time to address all concerns.; Highly professional and caring.; Explained the condition very clearly.,Global Care Hospital,1817
Dr. Naina Joshi,Psychiatrist,40,"MBBS, MS","123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 9375230914,dr..naina.joshi@dharamshala.hospital.com,4.3,Took time to address all concerns.; Explained the condition very clearly.; Highly professional and caring.,City General Hospital,978
Dr. Ravi Agrawal,Cardiologist,38,"MBBS, MS","123 Street, Dharamshala, Himachal Pradesh",Dharamshala,Himachal Pradesh,+91 8657180189,dr..ravi.agrawal@dharamshala.hospital.com,4.2,Highly professional and caring.; Highly recommended for specialized care.; Explained the condition very clearly.,Global Care Hospital,898
Dr. Naina Nigam,ENT Specialist,7,"MBBS, MD","123 Street, Jamshedpur, Jharkhand",Jamshedpur,Jharkhand,+91 7744466165,dr..naina.nigam@jamshedpur.hospital.com,3.9,Highly professional and caring.; Took time to address all concerns.; Patient and compassionate treatment.,City General Hospital,1270
Dr. Priya Sethi,ENT Specialist,7,"MBBS, MCh, MS","123 Street, Ranchi, Jharkhand",Ranchi,Jharkhand,+91 8152647407,dr..priya.sethi@ranchi.hospital.com,4.1,Patient and compassionate treatment.; Highly recommended for specialized care.; Highly professional and caring.,City General Hospital,1694
Dr. Aditi Singh,Orthopedic,19,MD,"123 Street, Jamshedpur, Jharkhand",Jamshedpur,Jharkhand,+91 7510994205,dr..aditi.singh@jamshedpur.hospital.com,4.5,Patient and compassionate treatment.; Highly professional and caring.; Highly recommended for specialized care.,City General Hospital,848
